テーブル名	説明	キーのカラム名：型（n/s）：修正可否（n/y）:自動採番（n/y）
pbxremotecustomer	PBXリモートシステム用顧客データ	usercode:s:n:y
irmsremotecustomer	IRMSユーザ管理	usercode:s:n:y
customer	PBXリモートユーザ管理	id:n:n:y
customerstation	顧客の拠点毎のデータ	id:n:n:y
mss2remotecustomer	ユーザ管理	usercode:s:y:n
newcustomermanage	顧客基本データ	id:n:n:y
codemaster	コードマスタ	codeid:s:y:n,code:s:y:n
croscoretrbinfo	CrosCore障害情報マスタ	num:n:n:y
discoveryneotrbinfo	DiscoveryNeo障害情報マスタ	num:n:n:y
ipstagetrbinfo	IPstage障害情報マスタ	num:n:n:y
multitroubleinfo	障害定義情報	num:n:n:y
raspingtrbinfo	RAS/Ping障害情報マスタ	num:n:n:y
snmpctrbinfo	SNMPトラップ障害情報マスタ	num:n:n:y
ss9100provtrbinfo	SS9100プロビジョニングサーバ障害情報マスタ	num:n:n:y
ss9100trbinfo	SS9100障害情報	num:n:n:y
ssclustertrbinfo	SSクラスタ障害情報マスタ	num:n:n:y
loginmaster	ログインマスタ	account:s:y:n
mainteinfo	保守員情報	empcode:s:y:n
