codemaster	コードマスタ	codeid:s:y,code:s:y
croscoretrbinfo	CrosCore障害情報マスタ	num:n:n
customer	PBXリモート用顧客情報	id:n:n
customersation	顧客の拠点毎のデータ	id:n:n
discoveryneotrbinfo	DiscoveryNeo障害情報マスタ	num:n:n
ipstagetrbinfo	IPstage障害情報マスタ	num:n:n
irmsremotecustomer	IRMSユーザ管理	usercode:s:y
loginmaster	ログインマスタ	account:s:y
mainteinfo	保守員情報	empcode:s:y
mss2operationlog	MSSV2用RAS通信ログ	num:n:n
mss2remotecustomer	ユーザ管理	usercode:s:y
multianalyzelog	障害解析結果	sequenceno:n:n
multitroubleinfo	障害定義情報	num:n:n
newcustomermanage	顧客基本データ	id:n:n
operationlog	オペレーションログ	num:n:n
pbxoperationlog	PBXリモートのオペレーションログ	id:n:n
pbxremotecustomer	PBXリモートシステム用顧客データ	id:n:n
raspingtrbinfo	RAS/Ping障害情報マスタ	num:n:n
snmpctrbinfo	SNMPトラップ障害情報マスタ	num:n:n
ss9100provtrbinfo	SS9100プロビジョニングサーバ障害情報マスタ	num:n:n
ss9100trbinfo	SS9100障害情報	num:n:n
ssclustertrbinfo	SSクラスタ障害情報マスタ	num:n:n
